,Element,E_ref_0,E_ref_6,E_ref_9,E_ref_10,E_coh_MP,orbital_radius,Mendeleev_P84,Mendeleev_P88,Mendeleev_V04,Vol_perAtom_MatProj,E_coh_Kittel,atom_number,atom_weight,metling_Temperature,atom_column,atom_row,Electronegativity_Pauling,N_elctrons_sVal,N_elctrons_pVal,N_elctrons_dVal,N_elctrons_Val,Vol_perAtom_MatMiner
79,Hg,-0.0188781900000094,-0.1835770800000773,-1.06354022000005,-1.302489180000066,0.17802824,1.126,1.32,74,71,27.005581052290225,0.67,80.0,200.59,234.32,12.0,6.0,2.0,2.0,0.0,10.0,26.0,25.2375862069
80,Tl,,,,,2.04110635,1.319,1.56,78,76,29.90613832962256,1.88,81.0,204.3833,577.0,13.0,6.0,1.62,2.0,1.0,10.0,27.0,26.91
81,Pb,,,,,2.9370178200000003,1.215,1.8,82,81,31.053715283135052,2.03,82.0,207.2,600.61,14.0,6.0,2.33,2.0,2.0,10.0,28.0,28.11
82,Bi,,,,,2.5600889,1.295,2.04,87,86,36.5859888747896,2.18,83.0,208.9804,544.4,15.0,6.0,2.02,2.0,3.0,10.0,29.0,32.95
83,Po,,,,,,1.212,2.28,91,91,,1.5,84.0,209.0,527.0,16.0,6.0,2.0,2.0,4.0,10.0,30.0,38.73125
84,At,,,,,,1.146,2.52,96,97,,,85.0,210.0,575.0,17.0,6.0,2.2,2.0,5.0,10.0,31.0,38.73125
85,Rn,,,,,,1.09,0.0,6,103,,0.202,86.0,222.0,202.0,18.0,6.0,,2.0,6.0,10.0,32.0,38.73125
86,Fr,,,,,,2.447,0.0,7,5,,,87.0,223.0,,1.0,7.0,0.7,1.0,0.0,0.0,1.0,38.73125
87,Ra,,,,,,2.042,0.0,13,10,,1.66,88.0,226.0,973.0,2.0,7.0,0.9,2.0,0.0,0.0,2.0,38.73125
88,Ac,,,,,3.9541105375,1.895,0.0,48,14,46.13635019215516,4.25,89.0,227.0,1323.0,3.0,7.0,1.1,2.0,0.0,1.0,3.0,44.5125
89,Th,0.0064460699999244,0.1256610399999544,-1.1622128700000758,-2.545668169999999,6.66261661,1.788,0.0,47,16,32.144276686139456,6.2,90.0,232.03806,2023.0,3.0,7.0,1.3,2.0,0.0,2.0,4.0,32.37
90,Pa,,,,,,1.804,0.0,46,18,24.46037090317387,,91.0,231.03586,1845.0,3.0,7.0,1.5,2.0,0.0,1.0,5.0,25.18
91,U,,,,,6.49019977,1.775,0.0,45,20,19.65107607411292,5.55,92.0,238.02891,1408.0,3.0,7.0,1.38,2.0,0.0,1.0,6.0,20.025
